[2026-04-09 09:27:37] RX | CMD: 5 | Size: 7 bytes
[2026-04-09 09:27:37] TX_RAW_IMAGE | CMD: 99 | Size: 1048576 bytes
[2026-04-09 09:27:45] RX | CMD: 5 | Size: 7 bytes
[2026-04-09 09:27:45] TX_RAW_IMAGE | CMD: 99 | Size: 1048576 bytes
[2026-04-09 09:27:49] RX | CMD: 5 | Size: 7 bytes
[2026-04-09 09:27:49] TX_RAW_IMAGE | CMD: 99 | Size: 1048576 bytes
[2026-04-09 09:27:52] RX | CMD: 5 | Size: 7 bytes
[2026-04-09 09:27:52] TX_RAW_IMAGE | CMD: 99 | Size: 1048576 bytes
[2026-04-09 09:27:56] RX | CMD: 5 | Size: 7 bytes
[2026-04-09 09:27:56] TX_RAW_IMAGE | CMD: 99 | Size: 1048576 bytes
[2026-04-09 09:38:46] RECEIVE | CMD: 5 | LEN: 7 bytes
[2026-04-09 09:38:46] SEND_IMG | CMD: 5 | LEN: 1048576 bytes
[2026-04-09 09:38:49] RECEIVE | CMD: 5 | LEN: 7 bytes
[2026-04-09 09:38:49] SEND_IMG | CMD: 5 | LEN: 1048576 bytes
[2026-04-09 09:52:18] RECEIVE | CMD: 5 | LEN: 7 bytes
[2026-04-09 09:52:18] SEND_IMG | CMD: 5 | LEN: 1048576 bytes
[2026-04-09 09:52:22] RECEIVE | CMD: 5 | LEN: 7 bytes
[2026-04-09 09:52:22] SEND_IMG | CMD: 5 | LEN: 1048576 bytes
[2026-04-09 09:52:25] RECEIVE | CMD: 5 | LEN: 7 bytes
[2026-04-09 09:52:25] SEND_IMG | CMD: 5 | LEN: 1048576 bytes
[2026-04-09 09:52:29] RECEIVE | CMD: 5 | LEN: 7 bytes
[2026-04-09 09:52:29] SEND_IMG | CMD: 5 | LEN: 1048576 bytes
[2026-04-09 09:52:45] RECEIVE | CMD: 5 | LEN: 7 bytes
[2026-04-09 09:52:45] SEND_IMG | CMD: 5 | LEN: 1048576 bytes
[2026-04-09 09:56:55] RECEIVE | CMD: 5 | LEN: 7 bytes
[2026-04-09 09:56:55] SEND_IMG | CMD: 5 | LEN: 8767 bytes
[2026-04-09 10:05:53] RECEIVE | CMD: 5 | LEN: 7 bytes
[2026-04-09 10:05:53] SEND_IMG | CMD: 5 | LEN: 8767 bytes
[2026-04-09 10:30:38] RECEIVE | CMD: 5 | LEN: 7 bytes
[2026-04-09 10:30:38] SEND_IMG | CMD: 5 | LEN: 8767 bytes
[2026-04-14 15:54:02] RECEIVE | CMD: 4 | LEN: 1 bytes
[2026-04-14 15:54:02] SEND_ACK | CMD: 4 | LEN: 6 bytes
[2026-04-14 15:57:02] RECEIVE | CMD: 4 | LEN: 1 bytes
[2026-04-14 15:57:02] SEND_ACK | CMD: 4 | LEN: 6 bytes
[2026-04-14 15:57:05] RECEIVE | CMD: 4 | LEN: 1 bytes
[2026-04-14 15:57:05] SEND_ACK | CMD: 4 | LEN: 6 bytes
[2026-04-14 15:57:08] RECEIVE | CMD: 4 | LEN: 1 bytes
[2026-04-14 15:57:08] SEND_ACK | CMD: 4 | LEN: 6 bytes
[2026-04-14 15:59:57] RECEIVE | CMD: 5 | LEN: 7 bytes
[2026-04-14 15:59:57] SEND_IMG | CMD: 5 | LEN: 8767 bytes
[2026-04-14 16:09:55] RECEIVE | CMD: 5 | LEN: 7 bytes
[2026-04-14 16:09:55] SEND_IMG | CMD: 5 | LEN: 8767 bytes
